"VAHU6","Region","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"CM11","Not BRRO","CM11","RB, QA, FP",14,"2012, 2014, 2011",3,"5 : FP","1 : QA | 1 : RB",NA,"7 : RB",NA,NA,NA,NA,NA,"FP: 5 | QA: 1 | RB: 8 | Total: 14","RB: 7 | Total: 7",NA
"CU04","Not BRRO","CU04","AW, RL",72,"2013, 2011, 2012",3,"32 : RL","28 : RL","12 : AW",NA,NA,NA,NA,NA,NA,"RL: 60 | AW: 12 | Total: 72","AW: 12 | Total: 12",NA
"CU06","Not BRRO","CU06","RB, AW",14,"2013, 2011, 2012",3,"6 : AW","6 : AW","2 : RB",NA,NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
"CU07","Not BRRO","CU07","RB",3,"2012, 2013",2,NA,"1 : RB","2 : RB",NA,NA,NA,NA,NA,NA,"RB: 3 | Total: 3","RB: 2 | Total: 2",NA
"CU08","Not BRRO","CU08","AW, FP, SS",36,"2014, 2011, 2012",3,"2 : FP | 16 : SS","6 : SS",NA,"12 : AW",NA,NA,NA,NA,NA,"FP: 2 | SS: 22 | AW: 12 | Total: 36","AW: 12 | Total: 12",NA
"JA11","Not BRRO","JA11","FP, PA, RB",16,"2014, 2012",2,NA,"2 : RB",NA,"2 : FP | 12 : PA",NA,NA,NA,NA,NA,"RB: 2 | FP: 2 | PA: 12 | Total: 16","FP: 2 | PA: 12 | Total: 14",NA
"JA13","Not BRRO","JA13","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JA15","Not BRRO","JA15","TM",24,"2011, 2012, 2013, 2014",4,"6 : TM","6 : TM","6 : TM","6 : TM",NA,NA,NA,NA,NA,"TM: 24 | Total: 24","TM: 12 | Total: 12",NA
"JA16","Not BRRO","JA16","RB, AW",14,"2011, 2012",2,"6 : AW | 2 : RB","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14",NA,NA
"JM14","BRRO","JM14","AW, TM, PA, FP",26,"2011, 2012, 2014",3,"5 : AW | 2 : FP | 1 : TM","6 : TM",NA,"12 : PA",NA,NA,NA,NA,NA,"AW: 5 | FP: 2 | TM: 7 | PA: 12 | Total: 26","PA: 12 | Total: 12",NA
"JM15","BRRO","JM15","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM17","BRRO","JM17","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"JM26","Not BRRO","JM26","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"JM30","BRRO","JM30","TM, RB",43,"2011, 2012",2,"2 : RB | 39 : TM","2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 4 | TM: 39 | Total: 43",NA,NA
"JM34","Not BRRO","JM34","RB",3,"2012, 2014",2,NA,"1 : RB",NA,"2 : RB",NA,NA,NA,NA,NA,"RB: 3 | Total: 3","RB: 2 | Total: 2",NA
"JM35","Not BRRO","JM35","RB",2,"2013",1,NA,NA,"2 : RB",NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2",NA
"JM42","Not BRRO","JM42","FP",1,"2013",1,NA,NA,"1 : FP",NA,NA,NA,NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1",NA
