"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"CM01","RB, AW, FP, PA, QA",35,"2011, 2014, 2016, 2012",4,"6 : AW | 2 : RB","6 : AW | 1 : RB",NA,"4 : RB",NA,"2 : FP | 11 : PA | 1 : QA | 2 : RB",NA,NA,"FP: 2 | PA: 11 | QA: 1 | RB: 2 | Total: 16","AW: 12 | RB: 9 | FP: 2 | PA: 11 | QA: 1 | Total: 35","RB: 6 | FP: 2 | PA: 11 | QA: 1 | Total: 20","FP: 2 | PA: 11 | QA: 1 | RB: 2 | Total: 16"
"CM02","AW, RB",15,"2013, 2016",2,NA,NA,"12 : AW | 2 : RB",NA,NA,"1 : RB",NA,NA,"RB: 1 | Total: 1","AW: 12 | RB: 3 | Total: 15","AW: 12 | RB: 3 | Total: 15","RB: 1 | Total: 1"
"CM03","RB, AW",22,"2013, 2016, 2012, 2014",4,NA,"2 : RB","2 : RB","2 : RB",NA,"12 : AW | 4 : RB",NA,NA,"AW: 12 | RB: 4 | Total: 16","RB: 10 | AW: 12 | Total: 22","RB: 8 | AW: 12 | Total: 20","AW: 12 | RB: 4 | Total: 16"
"CM04","AW, RB",16,"2015, 2011, 2014",3,"2 : RB",NA,NA,"2 : RB","12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 4 | AW: 12 | Total: 16","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"CM05","RB, AW",17,"2011, 2014, 2016",3,"2 : RB",NA,NA,"2 : RB",NA,"12 : AW | 1 : RB",NA,NA,"AW: 12 | RB: 1 | Total: 13","RB: 5 | AW: 12 | Total: 17","RB: 3 | AW: 12 | Total: 15","AW: 12 | RB: 1 | Total: 13"
"CM06","AW, RB",24,"2011, 2012, 2013, 2015",4,"6 : AW","6 : AW | 4 : RB","4 : RB",NA,"4 : RB",NA,NA,NA,"RB: 4 | Total: 4","AW: 12 | RB: 12 | Total: 24","RB: 8 | Total: 8","RB: 4 | Total: 4"
"CM07","RB, PA, FP, TR, AW",79,"2012, 2013, 2014, 2016, 2011, 2015",6,"6 : AW | 2 : FP | 6 : TR","6 : AW | 4 : RB | 7 : TR","2 : FP | 12 : PA | 2 : RB | 6 : TR","2 : RB | 6 : TR","2 : FP | 6 : TR","4 : RB | 6 : TR",NA,NA,"FP: 2 | TR: 12 | RB: 4 | Total: 18","AW: 12 | FP: 6 | TR: 37 | RB: 12 | PA: 12 | Total: 79","FP: 4 | PA: 12 | RB: 8 | TR: 24 | Total: 48","FP: 2 | TR: 12 | RB: 4 | Total: 18"
"CM08","RB, AW",22,"2011, 2013, 2016, 2014",4,"4 : RB",NA,"1 : RB","12 : AW | 2 : RB",NA,"3 : RB",NA,NA,"RB: 3 | Total: 3","RB: 10 | AW: 12 | Total: 22","RB: 6 | AW: 12 | Total: 18","RB: 3 | Total: 3"
"CM09","RB, AW, FP, PA",33,"2011, 2014, 2016, 2012, 2015",5,"7 : AW | 2 : RB","6 : AW",NA,"2 : RB","2 : FP | 12 : PA","2 : RB",NA,NA,"FP: 2 | PA: 12 | RB: 2 | Total: 16","AW: 13 | RB: 6 | FP: 2 | PA: 12 | Total: 33","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | RB: 2 | Total: 16"
"CM10","AW, FP, RB",16,"2015, 2012",2,NA,"2 : FP",NA,NA,"12 : AW | 2 : RB",NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","FP: 2 | AW: 12 | RB: 2 | Total: 16","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14"
