"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","STA_CBP_NAME"
"2-ANG001.27","JA16","RB",2,"2011",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"SSTUDY","STREAM","PRO","Blue Ridge","ANGOLA CREEK AT RT. 673","000002","AMBNT",37.37472222,-78.26166667,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Angola Creek-Appomattox River","020802070402","Appomattox River-Angola Creek","JA-D",NA
"2-APP085.85","JA19","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","RT 621 BRIDGE - CUMBERLAND/AMELIA LINE","000002","AMBNT",37.45222222,-78.14944444,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Little Guinea Creek-Appomattox River","020802070405","Appomattox River-Little Guinea Creek","JA-D",NA
"2-APP110.93","JA09","CB, BN, TR, PA",88,"2011, 2012, 2013, 2014, 2015, 2016",6,"11 : BN | 3 : CB","11 : BN | 1 : CB","13 : BN","12 : BN","11 : BN","11 : BN | 2 : PA | 13 : TR",NA,NA,"BN: 22 | PA: 2 | TR: 13 | Total: 37","BN: 69 | CB: 4 | PA: 2 | TR: 13 | Total: 88","BN: 47 | PA: 2 | TR: 13 | Total: 62","BN: 22 | PA: 2 | TR: 13 | Total: 37","ATRND","STREAM","SCRO","Blue Ridge","RT.45 BRIDGE AT FARMVILLE","045128","AMBNT",37.30725,-78.38925,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Bad Luck Branch-Appomattox River","020802070206","Appomattox River-Bad Luck Branch","JA-B",NA
"2-APP118.04","JA05","TR",36,"2011, 2012, 2013, 2014, 2015, 2016",6,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","TR: 36 | Total: 36","TR: 24 | Total: 24","TR: 12 | Total: 12","ATRND","STREAM","SCRO","Blue Ridge","RT.15 BRIDGE W OF FARMVILLE (PRINCE EDWA","000002","AMBNT",37.34033333,-78.47155833,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Ducker Creek-Appomattox River","020802070205","Appomattox River-Ducker Creek","JA-B",NA
"2-APP143.57","JA02","RB",1,"2012",1,NA,"1 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 1 | Total: 1",NA,NA,"SSTUDY","STREAM","SCRO","Blue Ridge","STA #1 RT. 618 BRIDGE APPOMATTOX COUNTY","000002","AMBNT",37.33916667,-78.65944444,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Suanee Creek-Appomattox River","020802070202","Appomattox River-Suanee Creek","JA-B",NA
"2-APP152.57","JA01","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA,"AWTSHD","STREAM","SCRO","Blue Ridge","Appomattox R @ rt 616","000002","AMBNT",37.36722222,-78.74861111,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Wolf Creek-Appomattox River","020802070201","Appomattox River-Wolf Creek","JA-B",NA
"2-ARS000.11","JA01","AW",12,"2017, 2018",2,NA,NA,NA,NA,NA,NA,"7 : AW","5 : AW","AW: 12 | Total: 12",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AWTSHD","STREAM","SCRO","Blue Ridge","Rt. 627","000002","AMBNT",37.36388889,-78.7475,"02","Mid Atlantic","James River Basin","APPOMATTOX","02080207","Appomattox","Wolf Creek-Appomattox River","020802070201","Appomattox River-Wolf Creek","JA-B",NA
"2-AUS001.12","JM52","RB",4,"2013, 2016",2,NA,NA,"2 : RB",NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","RB: 4 | Total: 4","RB: 4 | Total: 4","RB: 2 | Total: 2","SSTUDY","STREAM","SCRO","Blue Ridge","Austin Creek @ Rt. 607","000002","AMBNT",37.54222222,-78.65777778,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Meadow Creek-North River","020802031302","North River-Meadow Creek","JM-M",NA
"2-BAR000.60","JU47","TM",11,"2015, 2016",2,NA,NA,NA,NA,"5 : TM","6 : TM",NA,NA,"TM: 11 | Total: 11","TM: 11 | Total: 11","TM: 11 | Total: 11","TM: 11 | Total: 11","SSTUDY","STREAM","WCRO","Blue Ridge","RT. 614 BRIDGE","000002","AMBNT",37.53583333,-80.045,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Barbours Creek","020802011202","Barbours Creek","JU-L",NA
"2-BAR010.10","JU47","RB",2,"2017",1,NA,NA,NA,NA,NA,NA,"2 : RB",NA,"RB: 2 | Total: 2",NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","AWTSHD","STREAM","WCRO","Blue Ridge","Rt. 617 Bridge","000002","AMBNT",37.58777778,-80.09833333,"02","Mid Atlantic","James River Basin","UPPER JAMES","02080201","Upper James","Barbours Creek","020802011202","Barbours Creek","JU-L",NA
"2-BCR000.20","JM12","AW, QA, TM",12,"2017, 2018",2,NA,NA,NA,NA,NA,NA,"5 : AW | 1 : QA","5 : AW | 1 : TM","AW: 10 | QA: 1 | TM: 1 | Total: 12",NA,"AW: 10 | QA: 1 | TM: 1 | Total: 12","AW: 10 | QA: 1 | TM: 1 | Total: 12","AWTSHD","STREAM","SCRO","Blue Ridge","ROUTE 609 BRIDGE - CAMPBELL COUNTY","000002","AMBNT",37.38916667,-79.05944444,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Beaver Creek","020802030306","Beaver Creek","JM-C",NA
"2-BCR007.68","JM12","FP",2,"2012",1,NA,"2 : FP",NA,NA,NA,NA,NA,NA,NA,"FP: 2 | Total: 2",NA,NA,"APROB","STREAM","SCRO","Blue Ridge","Beaver Ck just downstream of Hwy 501","000002","AMBNT",37.32308333,-79.10047222,"02","Mid Atlantic","James River Basin","MIDDLE JAMES-BUFFALO","02080203","Middle James Buffalo","Beaver Creek","020802030306","Beaver Creek","JM-C",NA
