"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"JM01","RB, BN, TR, TM",100,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"12 : BN | 2 : RB","11 : BN | 2 : RB","12 : BN | 2 : RB","10 : BN | 2 : RB | 2 : TR","11 : BN | 2 : RB | 1 : TM","11 : BN | 2 : RB | 2 : TM | 1 : TR","11 : BN | 3 : RB | 1 : TM","BN: 43 | RB: 9 | TR: 3 | TM: 4 | Total: 59","BN: 67 | RB: 12 | TR: 3 | TM: 3 | Total: 85","BN: 55 | RB: 11 | TR: 3 | TM: 4 | Total: 73","BN: 33 | RB: 7 | TM: 4 | TR: 1 | Total: 45"
"JM02","PA, FP, RB, AW",25,"2017, 2013, 2015, 2019",4,"2 : FP | 2 : RB",NA,"2 : FP | 1 : RB",NA,"2 : FP | 13 : PA",NA,"1 : AW | 2 : FP","FP: 4 | PA: 13 | AW: 1 | Total: 18","FP: 6 | RB: 3 | PA: 13 | Total: 22","FP: 6 | RB: 1 | PA: 13 | AW: 1 | Total: 21","FP: 4 | PA: 13 | AW: 1 | Total: 18"
"JM03","TR, TM",25,"2013, 2014, 2015, 2016, 2019",5,"6 : TR","6 : TR","6 : TR","6 : TR",NA,NA,"1 : TM","TR: 6 | TM: 1 | Total: 7","TR: 24 | Total: 24","TR: 12 | TM: 1 | Total: 13","TM: 1 | Total: 1"
"JM04","RB, RL, PA, FP, AW, QA",494,"2015, 2016, 2017, 2018, 2013, 2019",6,"12 : AW",NA,"4 : RB | 103 : RL","2 : RB | 104 : RL","2 : FP | 12 : PA | 89 : RL","90 : RL","1 : QA | 75 : RL","RB: 2 | RL: 358 | FP: 2 | PA: 12 | QA: 1 | Total: 375","AW: 12 | RB: 6 | RL: 386 | FP: 2 | PA: 12 | Total: 418","RB: 6 | RL: 461 | FP: 2 | PA: 12 | QA: 1 | Total: 482","FP: 2 | PA: 12 | RL: 254 | QA: 1 | Total: 269"
"JM05","RB, AW",16,"2016, 2015",2,NA,NA,"12 : AW","4 : RB",NA,NA,NA,"RB: 4 | Total: 4","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 4 | Total: 16",NA
"JM06","AW, RB",14,"2014, 2015",2,NA,"12 : AW","2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
"JM07","TR, TM, RB, FP",53,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","1 : RB | 6 : TR","6 : TR","2 : TM | 6 : TR","4 : TM | 6 : TR","2 : FP | 1 : RB | 2 : TM | 5 : TR","TR: 23 | TM: 8 | FP: 2 | RB: 1 | Total: 34","TR: 36 | RB: 1 | TM: 6 | Total: 43","RB: 2 | TR: 29 | TM: 8 | FP: 2 | Total: 41","TM: 8 | TR: 17 | FP: 2 | RB: 1 | Total: 28"
"JM08","RB, PA, FP",20,"2014, 2015, 2019",3,NA,"2 : RB","2 : FP | 12 : PA | 2 : RB",NA,NA,NA,"2 : FP","FP: 2 | Total: 2","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 4 | PA: 12 | RB: 2 | Total: 18","FP: 2 | Total: 2"
"JM09","RB, AW, TM",19,"2015, 2018, 2017, 2019",4,NA,NA,"3 : RB",NA,"6 : AW","6 : AW | 1 : RB | 1 : TM","2 : RB","AW: 12 | RB: 3 | TM: 1 | Total: 16","RB: 4 | AW: 12 | TM: 1 | Total: 17","RB: 6 | AW: 12 | TM: 1 | Total: 19","AW: 12 | RB: 3 | TM: 1 | Total: 16"
"JM10","AW, RB, TM",26,"2015, 2018, 2019",3,NA,NA,"12 : AW | 3 : RB",NA,NA,"3 : RB | 3 : TM","4 : RB | 1 : TM","RB: 7 | TM: 4 | Total: 11","AW: 12 | RB: 6 | TM: 3 | Total: 21","AW: 12 | RB: 10 | TM: 4 | Total: 26","RB: 7 | TM: 4 | Total: 11"
