"FDT_STA_ID","Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_COMMENT","Latitude","Longitude","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","FDT_DATE_TIME2","Basin","Subbasin"
"2-BAR000.60","JU47","TM",11,"2015, 2016",2,NA,NA,"5 : TM","6 : TM",NA,NA,NA,"TM: 6 | Total: 6","TM: 11 | Total: 11","TM: 11 | Total: 11",NA,"RT. 614 BRIDGE","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.53583333,-80.045,"02080201","Upper James","Barbours Creek","JU-L","020802011202","Barbours Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-04-14 14:30:00,"James","Upper James"
"2-BAR010.10","JU47","RB",2,"2017",1,NA,NA,NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","Rt. 617 Bridge","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.58777778,-80.09833333,"02080201","Upper James","Barbours Creek","JU-L","020802011202","Barbours Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-04-05 17:15:00,"James","Upper James"
"2-BCR000.20","JM12",NA,13,"2017, 2018",2,NA,NA,NA,NA,"5 : AW | 1 : QA","5 : AW | 1 : QA | 1 : TM",NA,"AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13","AW: 10 | QA: 2 | TM: 1 | Total: 13","ROUTE 609 BRIDGE - CAMPBELL COUNTY","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.38916667,-79.05944444,"02080203","Middle James Buffalo","Beaver Creek","JM-C","020802030306","Beaver Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-02-27 14:50:00,"James","Middle James Buffalo"
"2-BKL000.15","JU40","AW",9,"2017",1,NA,NA,NA,NA,"9 : AW",NA,NA,"AW: 9 | Total: 9","AW: 9 | Total: 9","AW: 9 | Total: 9","AW: 9 | Total: 9","Rt. 743 culvert near Gala","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.68949167,-79.81748333,"02080201","Upper James","Black Lick-James River","JU-I","020802010904","James River-Black Lick","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-01-25 19:15:00,"James","Upper James"
"2-BKW000.40","JM10",NA,16,"2015, 2018, 2019",3,NA,NA,"12 : AW | 1 : RB",NA,NA,"2 : TM","1 : TM","TM: 3 | Total: 3","AW: 12 | RB: 1 | TM: 2 | Total: 15","AW: 12 | RB: 1 | TM: 3 | Total: 16","TM: 3 | Total: 3","Blackwater Cr @ Rivermont Ave","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.41944444,-79.14611111,"02080203","Middle James Buffalo","Blackwater Creek","JM-C","020802030304","Blackwater Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-01-06 13:55:00,"James","Middle James Buffalo"
"2-BKW004.87","JM10","RB",4,"2015, 2018, 2019",3,NA,NA,"1 : RB",NA,NA,"1 : RB","2 : RB","RB: 3 | Total: 3","RB: 2 | Total: 2","RB: 4 | Total: 4","RB: 3 | Total: 3","Blackwater cr before Ivy Cr conf","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.4175,-79.18444444,"02080203","Middle James Buffalo","Blackwater Creek","JM-C","020802030304","Blackwater Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-04-27 16:10:00,"James","Middle James Buffalo"
"2-BKW005.95","JM10","TM",1,"2018",1,NA,NA,NA,NA,NA,"1 : TM",NA,"TM: 1 | Total: 1","TM: 1 | Total: 1","TM: 1 | Total: 1","TM: 1 | Total: 1","Blackwater Cr.@Hill St.(S of Langhorne)","Blue Ridge","SCRO",0.3,"S",50,"170520",NA,37.41166667,-79.18777778,"02080203","Middle James Buffalo","Blackwater Creek","JM-C","020802030304","Blackwater Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2018-09-17 13:50:00,"James","Middle James Buffalo"
"2-BMT000.07","JM04","RB",4,"2015, 2016",2,NA,NA,"2 : RB","2 : RB",NA,NA,NA,"RB: 2 | Total: 2","RB: 4 | Total: 4","RB: 4 | Total: 4",NA,"Brown Mt Cr @ rt 636","Blue Ridge","SCRO",0.3,"S",50,"000002","SPC FAILED QA",37.69472222,-79.27638889,"02080203","Middle James Buffalo","Lynchburg Reservoir-Pedlar River","JM-B","020802030201","Pedlar River-Lynchburg Reservoir","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-05-20 16:30:00,"James","Middle James Buffalo"
"2-BTC000.16","JM18","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","OFF ROUTE 26, NEAR CONFLUENCE WITH JAMES","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.53388889,-78.82916667,"02080203","Middle James Buffalo","Bent Creek","JM-D","020802030406","Bent Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-02-27 18:50:00,"James","Middle James Buffalo"
"2-BUF002.10","JM31",NA,48,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : PA | 6 : TR","6 : TR","6 : TR","1 : TM | 6 : TR","5 : TR","TR: 23 | TM: 1 | Total: 24","TR: 36 | PA: 6 | TM: 1 | Total: 43","PA: 6 | TR: 29 | TM: 1 | Total: 36","TR: 17 | TM: 1 | Total: 18","RT. 657 AT GAGING STATION","Valley","SCRO",0.3,"S",50,"000002",NA,37.60986111,-78.92263889,"02080203","Middle James Buffalo","Rocky Creek-Buffalo River","JM-F","020802030604","Buffalo River-Rocky Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,2013-01-15 19:00:00,"James","Middle James Buffalo"
"2-BUF013.53","JM29","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","RT. 29 BRIDGE","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.60527778,-79.02611111,"02080203","Middle James Buffalo","Stonewall Creek-Buffalo River","JM-F","020802030602","Buffalo River-Stonewall Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-02-27 19:50:00,"James","Middle James Buffalo"
"2-BUF026.43","JM28","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","Buffalo River @ Rt 60","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.65833333,-79.145,"02080203","Middle James Buffalo","North Fork Buffalo River-Buffalo River","JM-F","020802030601","Buffalo River-North Fork Buffalo River","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2017-02-27 20:10:00,"James","Middle James Buffalo"
"2-BUN000.04","JM10","RB",3,"2015, 2018, 2019",3,NA,NA,"1 : RB",NA,NA,"1 : RB","1 : RB","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 3 | Total: 3","RB: 2 | Total: 2","Burton Cr-off rhonda rd near conf-tmahwk","Blue Ridge","SCRO",0.3,"S",50,"000002",NA,37.38527778,-79.21111111,"02080203","Middle James Buffalo","Blackwater Creek","JM-C","020802030304","Blackwater Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-04-27 18:00:00,"James","Middle James Buffalo"
"2-CAT000.34","JU53",NA,13,"2017, 2018",2,NA,NA,NA,NA,"12 : AW","1 : SS",NA,"AW: 12 | SS: 1 | Total: 13","AW: 12 | SS: 1 | Total: 13","AW: 12 | SS: 1 | Total: 13","AW: 12 | SS: 1 | Total: 13","BRIDGE NEAR SALISBURY FURNACE-BOTETOURT","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.60194445,-79.78666667,"02080201","Upper James","Town Branch-Catawba Creek","JU-M","020802011302","Catawba Creek-Town Branch","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2017-01-31 17:40:00,"James","Upper James"
"2-CAT023.83","JU52","PA",13,"2016, 2019",2,NA,NA,NA,"12 : PA",NA,NA,"1 : PA","PA: 13 | Total: 13","PA: 12 | Total: 12","PA: 13 | Total: 13","PA: 1 | Total: 1","GAGE NEAR CATAWBA, ROUTE 779 BRIDGE","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.46666667,-80.00555556,"02080201","Upper James","Little Catawba Creek-Catawba Creek","JU-M","020802011301","Catawba Creek-Little Catawba Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2016-01-19 16:15:00,"James","Upper James"
"2-CAT025.14","JU52","RB",2,"2013",1,"2 : RB",NA,NA,NA,NA,NA,NA,NA,"RB: 2 | Total: 2",NA,NA,"Andy Lane Trail crossing off Rt. 729","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.453425,-80.00801944,"02080201","Upper James","Little Catawba Creek-Catawba Creek","JU-M","020802011301","Catawba Creek-Little Catawba Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,2013-04-22 17:30:00,"James","Upper James"
"2-CAT026.29","JU52","FP",2,"2016",1,NA,NA,NA,"2 : FP",NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"Downstr of Hogan Hollow","Blue Ridge","WCRO",0.3,"S",50,NA,NA,37.43588889,-80.01784167,"02080201","Upper James","Little Catawba Creek-Catawba Creek","JU-M","020802011301","Catawba Creek-Little Catawba Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VA-1028",2016-03-22 16:30:00,"James","Upper James"
"2-CAT027.64","JU52",NA,21,"2015, 2016, 2017",3,NA,NA,"5 : TM","12 : PA | 2 : TM","2 : TM",NA,NA,"PA: 12 | TM: 4 | Total: 16","TM: 9 | PA: 12 | Total: 21","TM: 9 | PA: 12 | Total: 21","TM: 2 | Total: 2","Hogan Hollow Rd. (Rt. 737)","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.42594444,-80.02176944,"02080201","Upper James","Little Catawba Creek-Catawba Creek","JU-M","020802011301","Catawba Creek-Little Catawba Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,2015-04-14 13:10:00,"James","Upper James"
"2-CRG001.20","JU50",NA,43,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","2 : SS | 6 : TR","5 : TR","TR: 23 | SS: 2 | Total: 25","TR: 36 | SS: 2 | Total: 38","TR: 29 | SS: 2 | Total: 31","TR: 17 | SS: 2 | Total: 19","ROUTE 818, NEAR BESSEMER - BOTETOURT COU","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.64888889,-79.83138889,"02080201","Upper James","Roaring Run-Craig Creek","JU-L","020802011205","Craig Creek-Roaring Run","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2013-02-12 14:00:00,"James","Upper James"
"2-CRG014.92","JU48","FP",1,"2015",1,NA,NA,"1 : FP",NA,NA,NA,NA,NA,"FP: 1 | Total: 1","FP: 1 | Total: 1",NA,"Off Rt. 615 near RR trestle","Blue Ridge","WCRO",0.3,"S",50,NA,NA,37.6438,-79.9216,"02080201","Upper James","Mill Creek-Craig Creek","JU-L","020802011203","Craig Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VARS11-194",2015-10-15 18:15:00,"James","Upper James"
"2-CRG015.50","JU48","FP",2,"2014",1,NA,"2 : FP",NA,NA,NA,NA,NA,NA,"FP: 2 | Total: 2",NA,NA,"Off Rt. 615, upstr of Hipes","Blue Ridge","WCRO",0.3,"S",50,"000002","DO FAILED POST-CHECK",37.6487,-79.92969444,"02080201","Upper James","Mill Creek-Craig Creek","JU-L","020802011203","Craig Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VARS11-275",2014-05-13 16:00:00,"James","Upper James"
"2-CRG016.90","JU48","PA",23,"2014, 2015",2,NA,"12 : PA","11 : PA",NA,NA,NA,NA,NA,"PA: 23 | Total: 23","PA: 11 | Total: 11",NA,"Rt. 817 Pull off from Rt. 615","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.64663889,-79.94880556,"02080201","Upper James","Mill Creek-Craig Creek","JU-L","020802011203","Craig Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,2014-01-13 15:50:00,"James","Upper James"
"2-CRG026.85","JU48","PA",12,"2016",1,NA,NA,NA,"12 : PA",NA,NA,NA,"PA: 12 | Total: 12","PA: 12 | Total: 12","PA: 12 | Total: 12",NA,"Oriskany canoe launch","Blue Ridge","WCRO",0.3,"S",50,"000002",NA,37.61763889,-79.9895,"02080201","Upper James","Mill Creek-Craig Creek","JU-L","020802011203","Craig Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,2016-01-19 18:15:00,"James","Upper James"
"2-CRG028.87","JU48","FP",2,"2016",1,NA,NA,NA,"2 : FP",NA,NA,NA,"FP: 2 | Total: 2","FP: 2 | Total: 2","FP: 2 | Total: 2",NA,"Upstr. of Slippery Ford","Blue Ridge","WCRO",0.3,"S",50,NA,NA,37.59467222,-79.99886667,"02080201","Upper James","Mill Creek-Craig Creek","JU-L","020802011203","Craig Creek-Mill Creek","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VA-1304",2016-04-20 16:00:00,"James","Upper James"
