"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"1","2-BKW000.40",2021,16,"TM | FP","TM",NA,24,24,24,91.6666666666667,91.6666666666667,91.6666666666667,45.8333333333333,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,"FLAG"
"2","2-BKW000.40",2022,8,"TM","TM",NA,24,24,24,91.6666666666667,91.6666666666667,91.6666666666667,45.8333333333333,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,"FLAG"
"3","2-BKW004.87",2021,4,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"4","2-BKW004.87",2022,2,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"5","2-BKW005.95",2021,12,"TM","TM",NA,20,20,20,90,90,90,45,90,90,90,90,90,90,90,90,"FLAG"
"6","2-BKW005.95",2022,8,"TM","TM",NA,20,20,20,90,90,90,45,90,90,90,90,90,90,90,90,"FLAG"
"7","2-BSB000.20",2021,4,"RB","RB",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"8","2-BUF002.10",2021,12,"TR","TR",NA,20,20,20,90,90,90,45,90,90,90,90,90,90,90,90,"FLAG"
"9","2-BUF002.10",2022,8,"TR","TR",NA,20,20,20,90,90,90,45,90,90,90,90,90,90,90,90,"FLAG"
"10","2-BUN000.04",2021,4,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"11","2-BUN000.04",2022,2,"RB","RB",NA,6,6,6,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"12","2-BUN001.64",2021,12,"TM","TM",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"13","2-BUN001.64",2022,6,"TM","TM",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"14","2-CRG001.20",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
